"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SNTV3R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","MALACAS1 TG 6  GAS","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG","MALACAS1 TG6  D2"
11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11556.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3613.912,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11554.568,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4428.646,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11557.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11557.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4531.139,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11557.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4053.216,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11557.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3963.507,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11557.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4766.229,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11553.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11550.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11546.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11535.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11525.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11525.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11541.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11532.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11538.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4586.325,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11535.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
28.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11541.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11538.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11546.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
31.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11553.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
32.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11556.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
33.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12234.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11550.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6375.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7755.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,721.016,1657.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.154,0.000,0.000,0.000,0.000,4303.929,0.000,0.000,0.000,0.000
