"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
21.00,18.43,24.10,19.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,19.20,17.50,18.05,0.00,9.20,1.72,27.66,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.60,23.20,71.90,3.51,0.00,19.51,19.32,135.00,0.00,35.74,0.60,19.51,19.51,19.51,1.20,26.32,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,9.39,18.00,0.85,1.00,44.30,55.30,2.70,3.80,97.20,97.80,35.00,0.40,2.00,75.19
22.00,18.70,23.87,18.30,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,19.30,17.50,18.05,0.00,9.20,2.66,31.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.68,24.10,75.50,3.51,0.00,19.51,19.32,134.00,0.00,35.60,0.60,19.51,19.51,19.51,1.20,41.96,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,8.40,9.57,18.00,0.87,1.00,49.80,60.10,3.30,4.30,96.48,104.10,44.00,0.40,2.00,75.21
23.00,17.74,24.13,16.30,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,19.30,17.70,18.05,0.00,9.20,3.61,35.43,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.40,24.80,78.70,3.51,0.00,19.51,19.32,134.00,0.00,35.21,0.60,19.51,19.51,19.51,1.20,57.26,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,9.10,9.86,18.00,0.86,1.00,55.40,65.20,4.10,4.90,96.48,110.40,54.00,0.40,2.00,74.61
24.00,17.61,24.01,13.10,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,19.20,17.80,18.05,0.00,9.20,4.59,40.25,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.21,24.80,78.80,3.51,0.00,19.51,19.32,135.00,0.00,36.88,0.60,19.51,19.51,19.51,1.20,71.57,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,10.47,18.00,0.86,1.00,60.10,69.00,4.90,5.60,97.20,110.80,65.00,0.40,2.00,73.33
25.00,17.08,23.74,10.30,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,18.90,17.60,18.05,0.00,9.20,5.50,44.21,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.44,24.50,77.80,3.51,0.00,19.51,19.32,136.00,0.00,36.61,0.60,19.51,19.51,19.51,1.20,83.94,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.80,10.52,18.00,0.86,1.00,64.40,72.40,5.90,6.30,97.92,109.30,77.00,0.30,2.00,71.02
26.00,15.90,23.72,8.50,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,18.40,17.30,18.05,0.00,9.20,6.23,45.62,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.45,24.30,77.30,3.51,0.00,19.51,19.32,136.00,0.00,36.32,0.60,19.51,19.51,19.51,1.20,90.49,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.00,8.92,18.00,0.72,1.00,66.70,75.10,6.20,6.70,97.92,108.40,89.00,0.20,2.00,68.33
27.00,14.41,23.68,6.30,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,18.30,17.10,18.05,0.00,9.20,6.67,46.60,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.32,24.20,77.00,3.51,0.00,19.51,19.32,134.00,0.00,32.63,0.60,19.51,19.51,19.51,1.20,96.72,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,4.70,7.40,18.00,0.70,1.00,68.20,77.60,6.40,6.90,96.48,107.80,96.00,0.20,2.00,65.31
28.00,12.30,23.71,4.20,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,17.80,16.70,18.05,0.00,9.20,6.19,46.28,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,13.88,24.20,77.50,3.51,0.00,19.51,19.32,131.00,0.00,28.46,0.60,19.51,19.51,19.51,1.20,101.98,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,4.00,6.14,18.00,0.66,1.00,69.60,79.60,6.50,7.00,94.32,108.40,98.00,0.10,2.00,61.37
29.00,9.70,23.86,2.40,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,15.60,15.90,18.05,0.00,9.20,5.73,46.00,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,13.17,24.40,78.30,3.51,0.00,19.51,19.32,124.00,0.00,31.48,0.60,19.51,19.51,19.51,1.20,107.29,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.30,5.20,18.00,0.55,1.00,70.80,81.40,6.50,7.10,89.28,109.50,100.00,0.10,2.00,55.57
30.00,5.36,23.70,1.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,11.70,13.70,18.05,0.00,9.20,5.29,45.87,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,12.17,24.20,77.10,3.51,0.00,19.51,19.32,111.00,0.00,27.10,0.60,19.51,19.51,19.51,1.20,112.68,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.10,5.26,18.00,0.40,1.00,70.50,82.00,6.20,6.90,79.92,110.00,101.00,0.10,2.00,45.65
31.00,3.72,23.69,0.10,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,5.30,8.40,18.05,0.00,9.20,4.87,45.54,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,9.52,23.90,75.30,3.51,0.00,19.51,19.32,87.00,0.00,17.71,0.60,19.51,19.51,19.51,1.20,116.84,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.10,5.11,18.00,0.34,1.00,69.60,82.20,5.70,6.50,62.64,110.30,102.00,0.10,2.00,26.82
32.00,2.85,23.64,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.90,2.00,18.05,0.00,9.20,4.50,44.62,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,4.48,24.10,73.50,3.51,0.00,19.51,19.32,52.00,0.00,10.34,0.60,19.51,19.51,19.51,1.20,117.30,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,2.70,4.38,18.00,0.24,1.00,67.80,82.60,5.20,5.90,37.44,111.90,101.00,0.10,2.00,10.56
33.00,0.75,23.77,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.24,44.03,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.88,24.40,71.80,3.51,0.00,19.51,19.32,25.00,0.00,2.24,0.60,19.51,19.51,19.51,1.20,117.67,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,2.30,3.75,18.00,0.08,1.00,65.80,83.10,4.70,5.10,18.00,114.00,99.00,0.00,2.00,3.33
34.00,0.00,23.71,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.30,44.39,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.04,24.20,68.90,3.51,0.00,19.51,19.32,6.00,0.00,0.02,0.60,19.51,19.51,19.51,1.20,117.77,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.80,3.46,18.00,0.04,1.00,64.30,83.10,4.50,4.70,4.32,115.20,96.00,0.00,2.00,0.70
35.00,0.00,23.80,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.14,43.72,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,23.90,65.50,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,117.60,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.40,3.14,18.00,0.00,1.00,63.00,83.00,4.30,4.50,0.00,116.20,88.00,0.00,2.00,0.00
36.00,0.00,23.62,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.32,39.94,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,23.40,61.80,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,116.59,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.20,2.72,18.00,0.00,1.00,62.90,82.70,4.40,4.30,0.00,115.30,76.00,0.00,2.00,0.00
37.00,0.00,23.57,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.62,36.83,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,22.80,57.80,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,114.23,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.20,2.31,18.00,0.00,1.00,63.40,82.40,4.40,4.20,0.00,113.70,65.00,0.00,2.00,0.00
38.00,0.00,23.78,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.26,35.79,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,22.20,54.80,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,107.81,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.10,1.96,18.00,0.00,1.00,62.90,81.40,4.30,4.00,0.00,111.70,57.00,0.00,2.00,0.00
39.00,0.00,23.71,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.93,34.67,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,21.50,52.20,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,100.37,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.00,1.64,18.00,0.00,1.00,62.20,80.30,4.10,3.70,0.00,109.60,49.00,0.00,2.00,0.00
40.00,0.00,23.77,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.69,33.34,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.80,49.40,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,89.83,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.80,1.43,18.00,0.00,1.00,60.30,78.30,3.70,3.30,0.00,107.20,42.00,0.00,2.00,0.00
41.00,0.00,23.75,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.46,32.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,20.20,46.60,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,80.82,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.70,1.19,18.00,0.00,1.00,58.00,76.10,3.20,2.80,0.00,104.80,37.00,0.00,2.00,0.00
42.00,0.00,23.67,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.26,32.72,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,19.70,45.20,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,76.41,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.80,0.85,18.00,0.00,1.00,55.00,73.80,2.80,2.40,0.00,102.20,33.00,0.00,2.00,0.00
43.00,0.00,23.74,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.25,32.44,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,19.40,44.30,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,72.04,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.90,0.69,18.00,0.00,1.00,51.90,71.50,2.50,2.10,0.00,99.60,29.00,0.00,2.00,0.00
44.00,0.00,23.76,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,1.76,30.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,19.10,43.70,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,67.82,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.90,1.06,18.00,0.00,1.00,49.40,69.20,2.20,1.80,0.00,98.00,26.00,0.00,2.00,0.00
45.00,0.00,23.91,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.16,28.23,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,18.90,43.30,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,62.12,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.80,1.42,18.00,0.00,1.00,47.10,67.00,1.90,1.50,0.00,96.80,23.00,0.00,2.00,0.00
46.00,0.00,23.80,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.24,25.63,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,18.70,43.10,3.51,0.00,19.51,19.32,0.00,0.00,0.00,0.60,19.51,19.51,19.51,2.40,51.94,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,0.70,1.76,18.00,0.00,1.00,46.20,66.00,1.80,1.50,0.00,96.60,20.00,0.00,2.00,0.00
